,continent,country,year,age,suicides_no,population,gdp_per_capita ($),s_rate
232,N. america,Antigua and Barbuda,2003,55-74 years,1,7648,10878,13.08
233,N. america,Antigua and Barbuda,2003,75+ years,0,2651,10878,0.0
234,N. america,Antigua and Barbuda,2004,15-24 years,0,14616,11535,0.0
235,N. america,Antigua and Barbuda,2004,25-34 years,0,14087,11535,0.0
236,N. america,Antigua and Barbuda,2004,35-54 years,1,23898,11535,4.18
237,N. america,Antigua and Barbuda,2004,5-14 years,0,16684,11535,0.0
238,N. america,Antigua and Barbuda,2004,55-74 years,1,7753,11535,12.9
239,N. america,Antigua and Barbuda,2004,75+ years,0,2684,11535,0.0
240,N. america,Antigua and Barbuda,2005,15-24 years,0,14893,12649,0.0
241,N. america,Antigua and Barbuda,2005,25-34 years,0,13771,12649,0.0
242,N. america,Antigua and Barbuda,2005,35-54 years,0,24613,12649,0.0
243,N. america,Antigua and Barbuda,2005,5-14 years,0,16942,12649,0.0
244,N. america,Antigua and Barbuda,2005,55-74 years,0,7905,12649,0.0
245,N. america,Antigua and Barbuda,2005,75+ years,0,2685,12649,0.0
246,N. america,Antigua and Barbuda,2006,15-24 years,0,15141,14114,0.0
247,N. america,Antigua and Barbuda,2006,25-34 years,0,13417,14114,0.0
248,N. america,Antigua and Barbuda,2006,35-54 years,0,25576,14114,0.0
249,N. america,Antigua and Barbuda,2006,5-14 years,0,17056,14114,0.0
250,N. america,Antigua and Barbuda,2006,55-74 years,0,8103,14114,0.0
251,N. america,Antigua and Barbuda,2006,75+ years,0,2680,14114,0.0
252,N. america,Antigua and Barbuda,2007,15-24 years,0,15343,15775,0.0
253,N. america,Antigua and Barbuda,2007,25-34 years,0,13229,15775,0.0
254,N. america,Antigua and Barbuda,2007,35-54 years,1,26390,15775,3.79
255,N. america,Antigua and Barbuda,2007,5-14 years,0,17119,15775,0.0
256,N. america,Antigua and Barbuda,2007,55-74 years,0,8388,15775,0.0
257,N. america,Antigua and Barbuda,2007,75+ years,0,2662,15775,0.0
258,N. america,Antigua and Barbuda,2008,15-24 years,0,15512,16238,0.0
259,N. america,Antigua and Barbuda,2008,25-34 years,0,13184,16238,0.0
260,N. america,Antigua and Barbuda,2008,35-54 years,0,27060,16238,0.0
261,N. america,Antigua and Barbuda,2008,5-14 years,0,17136,16238,0.0
262,N. america,Antigua and Barbuda,2008,55-74 years,0,8745,16238,0.0
263,N. america,Antigua and Barbuda,2008,75+ years,0,2636,16238,0.0
264,N. america,Antigua and Barbuda,2009,15-24 years,0,15688,14335,0.0
265,N. america,Antigua and Barbuda,2009,25-34 years,0,13242,14335,0.0
266,N. america,Antigua and Barbuda,2009,35-54 years,0,27607,14335,0.0
267,N. america,Antigua and Barbuda,2009,5-14 years,0,17113,14335,0.0
268,N. america,Antigua and Barbuda,2009,55-74 years,0,9142,14335,0.0
269,N. america,Antigua and Barbuda,2009,75+ years,0,2613,14335,0.0
270,N. america,Antigua and Barbuda,2012,15-24 years,0,16328,13657,0.0
271,N. america,Antigua and Barbuda,2012,25-34 years,0,13844,13657,0.0
272,N. america,Antigua and Barbuda,2012,35-54 years,0,28473,13657,0.0
273,N. america,Antigua and Barbuda,2012,5-14 years,0,16876,13657,0.0
274,N. america,Antigua and Barbuda,2012,55-74 years,0,10506,13657,0.0
275,N. america,Antigua and Barbuda,2012,75+ years,0,2676,13657,0.0
276,N. america,Antigua and Barbuda,2013,15-24 years,0,16555,13287,0.0
277,N. america,Antigua and Barbuda,2013,25-34 years,0,14179,13287,0.0
278,N. america,Antigua and Barbuda,2013,35-54 years,0,28538,13287,0.0
279,N. america,Antigua and Barbuda,2013,5-14 years,0,16758,13287,0.0
280,N. america,Antigua and Barbuda,2013,55-74 years,0,11025,13287,0.0
281,N. america,Antigua and Barbuda,2013,75+ years,0,2724,13287,0.0
282,N. america,Antigua and Barbuda,2014,15-24 years,0,16745,14093,0.0
283,N. america,Antigua and Barbuda,2014,25-34 years,0,14506,14093,0.0
284,N. america,Antigua and Barbuda,2014,35-54 years,0,28598,14093,0.0
285,N. america,Antigua and Barbuda,2014,5-14 years,0,16631,14093,0.0
286,N. america,Antigua and Barbuda,2014,55-74 years,0,11588,14093,0.0
287,N. america,Antigua and Barbuda,2014,75+ years,0,2769,14093,0.0
288,N. america,Antigua and Barbuda,2015,15-24 years,0,16892,14853,0.0
289,N. america,Antigua and Barbuda,2015,25-34 years,0,14799,14853,0.0
290,N. america,Antigua and Barbuda,2015,35-54 years,0,28693,14853,0.0
291,N. america,Antigua and Barbuda,2015,5-14 years,0,16507,14853,0.0
292,N. america,Antigua and Barbuda,2015,55-74 years,1,12187,14853,8.21
293,N. america,Antigua and Barbuda,2015,75+ years,0,2811,14853,0.0
294,S. america,Argentina,1985,15-24 years,225,4769400,3264,4.72
295,S. america,Argentina,1985,25-34 years,242,4419400,3264,5.48
296,S. america,Argentina,1985,35-54 years,556,6701600,3264,8.3
297,S. america,Argentina,1985,5-14 years,27,5999400,3264,0.45
298,S. america,Argentina,1985,55-74 years,695,4301000,3264,16.16
299,S. america,Argentina,1985,75+ years,243,900000,3264,27.0
300,S. america,Argentina,1986,15-24 years,287,4796500,4072,5.98
301,S. america,Argentina,1986,25-34 years,305,4444500,4072,6.86
302,S. america,Argentina,1986,35-54 years,666,6739500,4072,9.88
303,S. america,Argentina,1986,5-14 years,17,6033300,4072,0.28
304,S. america,Argentina,1986,55-74 years,731,4325400,4072,16.9
305,S. america,Argentina,1986,75+ years,278,905200,4072,30.71
306,S. america,Argentina,1987,15-24 years,272,4859000,4026,5.6
307,S. america,Argentina,1987,25-34 years,281,4502400,4026,6.24
308,S. america,Argentina,1987,35-54 years,691,6827400,4026,10.12
309,S. america,Argentina,1987,5-14 years,29,6112000,4026,0.47
310,S. america,Argentina,1987,55-74 years,756,4381800,4026,17.25
311,S. america,Argentina,1987,75+ years,257,916800,4026,28.03
312,S. america,Argentina,1988,15-24 years,312,4983000,4458,6.26
313,S. america,Argentina,1988,25-34 years,276,4504000,4458,6.13
314,S. america,Argentina,1988,35-54 years,675,7011000,4458,9.63
315,S. america,Argentina,1988,5-14 years,31,6325000,4458,0.49
316,S. america,Argentina,1988,55-74 years,783,4491000,4458,17.43
317,S. america,Argentina,1988,75+ years,277,994000,4458,27.87
318,S. america,Argentina,1989,15-24 years,266,5084000,2670,5.23
319,S. america,Argentina,1989,25-34 years,302,4527000,2670,6.67
320,S. america,Argentina,1989,35-54 years,628,7124000,2670,8.82
321,S. america,Argentina,1989,5-14 years,29,6394000,2670,0.45
322,S. america,Argentina,1989,55-74 years,749,4551000,2670,16.46
323,S. america,Argentina,1989,75+ years,273,1022000,2670,26.71
324,S. america,Argentina,1990,15-24 years,265,5203000,4859,5.09
325,S. america,Argentina,1990,25-34 years,258,4548000,4859,5.67
326,S. america,Argentina,1990,35-54 years,602,7241000,4859,8.31
327,S. america,Argentina,1990,5-14 years,36,6440000,4859,0.56
328,S. america,Argentina,1990,55-74 years,692,4605000,4859,15.03
329,S. america,Argentina,1990,75+ years,287,1054100,4859,27.23
330,S. america,Argentina,1991,15-24 years,240,5427000,6404,4.42
331,S. america,Argentina,1991,25-34 years,291,4587000,6404,6.34
332,S. america,Argentina,1991,35-54 years,531,7271000,6404,7.3
333,S. america,Argentina,1991,5-14 years,37,6646000,6404,0.56
334,S. america,Argentina,1991,55-74 years,618,4638000,6404,13.32
335,S. america,Argentina,1991,75+ years,234,1054000,6404,22.2
336,S. america,Argentina,1992,15-24 years,328,5617600,7615,5.84
337,S. america,Argentina,1992,25-34 years,306,4635300,7615,6.6
338,S. america,Argentina,1992,35-54 years,628,7372100,7615,8.52
339,S. america,Argentina,1992,5-14 years,35,6648600,7615,0.53
340,S. america,Argentina,1992,55-74 years,647,4688900,7615,13.8
341,S. america,Argentina,1992,75+ years,240,1082900,7615,22.16
342,S. america,Argentina,1993,15-24 years,308,5811600,7768,5.3
343,S. america,Argentina,1993,25-34 years,309,4684100,7768,6.6
344,S. america,Argentina,1993,35-54 years,639,7492700,7768,8.53
345,S. america,Argentina,1993,5-14 years,41,6637300,7768,0.62
346,S. america,Argentina,1993,55-74 years,646,4739800,7768,13.63
347,S. america,Argentina,1993,75+ years,287,1112000,7768,25.81
348,S. america,Argentina,1994,15-24 years,348,5998500,8328,5.8
349,S. america,Argentina,1994,25-34 years,298,4738900,8328,6.29
350,S. america,Argentina,1994,35-54 years,687,7615200,8328,9.02
351,S. america,Argentina,1994,5-14 years,38,6625900,8328,0.57
352,S. america,Argentina,1994,55-74 years,644,4789900,8328,13.44
353,S. america,Argentina,1994,75+ years,226,1142800,8328,19.78
354,S. america,Argentina,1995,15-24 years,378,6165400,8232,6.13
355,S. america,Argentina,1995,25-34 years,280,4801800,8232,5.83
356,S. america,Argentina,1995,35-54 years,624,7737900,8232,8.06
357,S. america,Argentina,1995,5-14 years,34,6624400,8232,0.51
358,S. america,Argentina,1995,55-74 years,649,4839900,8232,13.41
359,S. america,Argentina,1995,75+ years,239,1176000,8232,20.32
360,S. america,Argentina,1996,15-24 years,385,6309200,8563,6.1
361,S. america,Argentina,1996,25-34 years,278,4871300,8563,5.71
362,S. america,Argentina,1996,35-54 years,700,7861400,8563,8.9
363,S. america,Argentina,1996,5-14 years,23,6637200,8563,0.35
364,S. america,Argentina,1996,55-74 years,595,4889700,8563,12.17
365,S. america,Argentina,1996,75+ years,248,1211900,8563,20.46
366,S. america,Argentina,1997,15-24 years,373,6359193,9057,5.87
367,S. america,Argentina,1997,25-34 years,285,4934442,9057,5.78
368,S. america,Argentina,1997,35-54 years,666,8018008,9057,8.31
369,S. america,Argentina,1997,5-14 years,30,6757215,9057,0.44
370,S. america,Argentina,1997,55-74 years,588,4920676,9057,11.95
371,S. america,Argentina,1997,75+ years,242,1344247,9057,18.0
372,S. america,Argentina,1998,15-24 years,441,6444306,9126,6.84
373,S. america,Argentina,1998,25-34 years,303,5009194,9126,6.05
374,S. america,Argentina,1998,35-54 years,655,8134032,9126,8.05
375,S. america,Argentina,1998,5-14 years,36,6810438,9126,0.53
376,S. america,Argentina,1998,55-74 years,658,4971401,9126,13.24
377,S. america,Argentina,1998,75+ years,254,1387888,9126,18.3
378,S. america,Argentina,1999,15-24 years,456,6509152,8546,7.01
379,S. america,Argentina,1999,25-34 years,315,5103037,8546,6.17
380,S. america,Argentina,1999,35-54 years,686,8245308,8546,8.32
381,S. america,Argentina,1999,5-14 years,41,6859773,8546,0.6
382,S. america,Argentina,1999,55-74 years,677,5028894,8546,13.46
383,S. america,Argentina,1999,75+ years,248,1428698,8546,17.36
384,S. america,Argentina,2000,15-24 years,579,6555356,8462,8.83
385,S. america,Argentina,2000,25-34 years,394,5220037,8462,7.55
386,S. america,Argentina,2000,35-54 years,752,8350585,8462,9.01
387,S. america,Argentina,2000,5-14 years,39,6898548,8462,0.57
388,S. america,Argentina,2000,55-74 years,735,5093889,8462,14.43
389,S. america,Argentina,2000,75+ years,275,1467118,8462,18.74
390,S. america,Argentina,2001,15-24 years,684,6588122,7900,10.38
391,S. america,Argentina,2001,25-34 years,457,5365491,7900,8.52
392,S. america,Argentina,2001,35-54 years,835,8452678,7900,9.88
393,S. america,Argentina,2001,5-14 years,53,6931554,7900,0.76
394,S. america,Argentina,2001,55-74 years,796,5147282,7900,15.46
395,S. america,Argentina,2001,75+ years,307,1525819,7900,20.12
396,S. america,Argentina,2002,15-24 years,700,6595250,2840,10.61
397,S. america,Argentina,2002,25-34 years,503,5530843,2840,9.09
398,S. america,Argentina,2002,35-54 years,813,8547540,2840,9.51
399,S. america,Argentina,2002,5-14 years,60,6948043,2840,0.86
400,S. america,Argentina,2002,55-74 years,794,5206985,2840,15.25
401,S. america,Argentina,2002,75+ years,292,1578846,2840,18.49
402,S. america,Argentina,2003,15-24 years,817,6589255,3668,12.4
403,S. america,Argentina,2003,25-34 years,525,5704958,3668,9.2
404,S. america,Argentina,2003,35-54 years,821,8639562,3668,9.5
405,S. america,Argentina,2003,5-14 years,62,6950765,3668,0.89
406,S. america,Argentina,2003,55-74 years,724,5275337,3668,13.72
407,S. america,Argentina,2003,75+ years,340,1626030,3668,20.91
408,S. america,Argentina,2004,15-24 years,812,6588572,4683,12.32
